Country,ISO-code,Fertility,Life expectancy,Population growth,Sex-ratio,Suicide rate,Urbanization rate,Median age,Year
Russia,RUS,1.82,72.4,0.4,0.86,26.5,74.8,39.6,2020
Russia,RUS,1.6,72.4,0.4,0.86,26.5,74.8,39.6,2020
Rwanda,RWA,4,68.7,2.77,0.96,11,17.4,19,2020
Saint Martin,MAF,1.8,,,0.92,,,32.5,2020
Samoa,WSM,3.9,73.2,0.78,1.04,5.4,,24.4,2020
San Marino,SMR,1.3,,0.64,0.94,,97.5,44.4,2020
Sao Tome and Principe,STP,4.3,70.2,,1,,,18.4,2020
Saudi Arabia,SAU,2.3,75,1.88,1.3,3.4,84.3,27.5,2020
Senegal,SEN,4.6,67.7,2.92,0.94,11.8,48.1,18.8,2020
Serbia,SRB,1.5,75.8,-0.48,0.95,10.9,56.4,42.6,2020
Seychelles,SYC,2.4,73.3,0.39,1.07,8.3,57.5,35.4,2020
Sierra Leone,SLE,4.3,54.3,1.91,0.95,16.1,42.9,19,2020
Singapore,SGP,1.1,83.8,2.45,0.96,7.9,100,34.6,2020
Sint Maarten,SXM,2,,,0.98,,100,41,2020
Slovenia,SVN,1.6,81.2,0.26,1,13.3,55.1,44.5,2020
Solomon Islands,SLB,4.4,72.8,2.13,1.04,5.9,24.7,22.5,2020
Somalia,SOM,6.1,56.7,2.86,1.02,8.3,46.1,18.1,2020
South Africa,ZAF,2.4,63.9,1.18,0.98,12.8,67.4,27.1,2020
South Korea,KOR,1.6,,0.45,1.01,20.2,81.4,41.8,2020
South Sudan,SSD,4.7,57.6,4.3,1.06,6.1,20.2,17.3,2020
Spain,ESP,1.3,83.4,0.09,0.98,6.1,80.8,42.7,2020
Sri Lanka,LKA,2.2,76.8,1.04,0.95,14.2,18.7,32.8,2020
Sudan,SDN,4.4,65.1,2.08,1.01,9.5,35.3,19.9,2020
Suriname,SUR,2.4,71.6,0.9,1.01,23.2,66.1,29.8,2020
Sweden,SWE,1.8,82.7,0.71,1,13.8,88,41.2,2020
Switzerland,CHE,1.5,,1.07,0.98,11.3,73.9,42.4,2020
Syria,SYR,2.8,71.8,1.97,1,2.4,55.5,24.3,2020
Tajikistan,TJK,3.6,70.9,2.45,0.99,3.3,27.5,24.5,2020
Tanzania,TZA,4.9,65,3.04,1,9.6,35.2,17.7,2020
Thailand,THA,1.5,76.9,0.31,0.96,12.9,51.4,37.7,2020
The Bahamas,BHS,1.8,73.8,1.52,0.96,1.6,83.2,32,2020
The Gambia,GMB,5.2,61.7,3.19,0.98,10,62.6,21,2020
Togo,TGO,4.3,60.8,2.6,0.98,16.6,42.8,19.8,2020
Tonga,TON,3.6,70.8,0.37,1.01,4,23.1,23,2020
Trinidad and Tobago,TTO,1.7,73.4,0.33,1.03,12.9,53.2,36,2020
Tunisia,TUN,2.2,76.5,0.97,0.99,3.2,69.6,31.6,2020
Turkey,TUR,2.1,78.3,1.28,1.01,7.2,76.1,30.9,2020
Turkmenistan,TKM,2.8,68.1,1.29,0.98,7.2,52.5,27.9,2020
Uganda,UGA,5,63,3.35,0.94,20,25,15.8,2020
Ukraine,UKR,1.3,72,-0.25,0.86,18.5,69.6,40.6,2020
United Arab Emirates,ARE,1.4,77.8,3.1,2.56,2.7,87,30.3,2020
